parameter_name,value,unit,description,category,reference,priority
SFDUR,0.0,days,Seed filling duration (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
SDPDV,0.0,count,Seeds per pod (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
PODUR,0.0,days,Pod duration (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
WTPSD,0.0,g,Weight per seed (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
THRSH,0.0,fraction,Threshing percentage (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
SDPRO,0.0,fraction,Protein fraction in seeds (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
SDLIP,0.0,fraction,Oil fraction in seeds (not applicable for leaf lettuce),genetic_parameters,"DSSAT CROPGRO v4.8",1
EC_TOLERANCE,1.8,dS_per_m,Maximum EC tolerance for lettuce,genetic_parameters,"Sonneveld & Voogt 2009",1
ROOT_ACTIVITY,1.0,factor,Root activity coefficient for lettuce,genetic_parameters,"Sonneveld & Voogt 2009",1
PHOTOSYNTHETIC_CAPACITY,1.0,factor,Relative photosynthetic capacity,genetic_parameters,"Seginer et al. 1991",1
NITRATE_EFFICIENCY,0.85,fraction,Nitrogen use efficiency factor,genetic_parameters,"Sonneveld & Voogt 2009",1

# === GENETIC COEFFICIENTS (DSSAT CROPGRO) ===
EM_FL,28.5,days,Time from emergence to first flower (lettuce-specific),genetic_coefficients,"Boote et al. 2018",1
FL_SH,16.0,days,Time from first flower to first seed head,genetic_coefficients,"DSSAT CROPGRO v4.8",1
FL_SD,24.0,days,Time from first flower to first seed,genetic_coefficients,"DSSAT CROPGRO v4.8",1
SD_PM,35.0,days,Time from first seed to physiological maturity,genetic_coefficients,"DSSAT CROPGRO v4.8",1
FL_LF,22.0,days,Time from first flower to end of leaf expansion,genetic_coefficients,"DSSAT CROPGRO v4.8",1
LFMAX,1.25,mg_CO2_per_m2_per_s,Maximum leaf photosynthesis rate for lettuce,genetic_coefficients,"Seginer et al. 1991",1
SLAVR,180.0,cm2_per_g,Specific leaf area under standard conditions,genetic_coefficients,"Tei et al. 1996",1
SIZLF,25.0,cm2,Maximum size of full lettuce leaf,genetic_coefficients,"Tei et al. 1996",1
XFRT,0.0,fraction,Maximum fraction partitioned to reproductive growth (lettuce is vegetative),genetic_coefficients,"DSSAT CROPGRO v4.8",1
SFDUR,0.0,days,Seed filling duration (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
SDPDV,0.0,count,Seeds per pod (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
PODUR,0.0,days,Pod duration (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
WTPSD,0.0,g,Weight per seed (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
THRSH,0.0,fraction,Threshing percentage (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
SDPRO,0.0,fraction,Protein fraction in seeds (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
SDLIP,0.0,fraction,Oil fraction in seeds (not applicable for leaf lettuce),genetic_coefficients,"DSSAT CROPGRO v4.8",1
EC_TOLERANCE,1.8,dS_per_m,Maximum EC tolerance for lettuce,genetic_coefficients,"Sonneveld & Voogt 2009",1
ROOT_ACTIVITY,1.0,factor,Root activity coefficient for lettuce,genetic_coefficients,"Sonneveld & Voogt 2009",1
PHOTOSYNTHETIC_CAPACITY,1.0,factor,Relative photosynthetic capacity,genetic_coefficients,"Seginer et al. 1991",1
NITRATE_EFFICIENCY,0.85,fraction,Nitrogen use efficiency factor,genetic_coefficients,"Sonneveld & Voogt 2009",1

# === PHOTOSYNTHESIS PARAMETERS (FARQUHAR MODEL) ===
vcmax_25,75.0,umol_per_m2_per_s,Maximum carboxylation rate at 25°C for lettuce,photosynthesis,"Bernacchi et al. 2001",1
jmax_25,125.0,umol_per_m2_per_s,Maximum electron transport rate at 25°C,photosynthesis,"Bernacchi et al. 2001",1
rd_25,1.2,umol_per_m2_per_s,Dark respiration rate at 25°C,photosynthesis,"Bernacchi et al. 2001",1
eav,65330.0,J_per_mol,Activation energy for Vcmax,photosynthesis,"Bernacchi et al. 2001",1
eaj,37000.0,J_per_mol,Activation energy for Jmax,photosynthesis,"Bernacchi et al. 2001",1
ear,37000.0,J_per_mol,Activation energy for Rd,photosynthesis,"Bernacchi et al. 2001",1
kc,404.9,umol_per_mol,Michaelis-Menten constant for CO2,photosynthesis,"Bernacchi et al. 2001",1
ko,278.4,mmol_per_mol,Michaelis-Menten constant for O2,photosynthesis,"Bernacchi et al. 2001",1
gamma_star,42.75,umol_per_mol,CO2 compensation point,photosynthesis,"Bernacchi et al. 2001",1
alpha,0.24,mol_per_mol,Quantum efficiency for C3 plants,photosynthesis,"Long et al. 1993",1
theta,0.7,fraction,Curvature factor of light response,photosynthesis,"Long et al. 1993",1
phi_psii,0.85,mol_per_mol,Quantum yield of PSII,photosynthesis,"Long et al. 1993",1
light_saturation,1200.0,umol_per_m2_per_s,Light saturation point for lettuce,photosynthesis,"Seginer et al. 1991",1
co2_compensation,50.0,ppm,CO2 compensation point,photosynthesis,"Long et al. 1993",1
light_use_efficiency,3.2,g_per_MJ,Light use efficiency for lettuce (calibrated),photosynthesis,"Seginer et al. 1991",1
quantum_efficiency,0.045,mol_per_mol,Efficiency of light absorption by chlorophyll (calibrated),photosynthesis,"Long et al. 1993",1
max_carboxylation,120.0,umol_per_m2_per_s,Maximum rate of CO2 fixation (calibrated),photosynthesis,"Bernacchi et al. 2001",1
enzyme_saturation_lai,3.5,unitless,LAI threshold for enzyme saturation (calibrated),photosynthesis,"Seginer et al. 1991",1
light_penetration_lai,4.0,unitless,LAI threshold for light penetration (calibrated),photosynthesis,"Seginer et al. 1991",1
r,8.314,J_per_mol_per_K,Gas constant,photosynthesis,"Farquhar et al. 1980",1
ci_fraction,0.7,fraction,Intercellular CO2 fraction,photosynthesis,"Farquhar et al. 1980",1
o2_mmol_mol,210.0,mmol_per_mol,Atmospheric O2 concentration,photosynthesis,"Farquhar et al. 1980",1

# === ENVIRONMENTAL PARAMETERS (SINGLE SOURCE) ===
optimal_temperature,22.0,celsius,Optimal temperature for lettuce growth,environment,"Seginer et al. 1991",1
optimal_temperature_max,28.0,celsius,Maximum temperature before stress,environment,"Seginer et al. 1991",1
optimal_temperature_min,15.0,celsius,Minimum temperature before stress,environment,"Seginer et al. 1991",1
optimal_light_intensity,18.0,MJ_per_m2_per_day,Optimal daily light integral,environment,"Seginer et al. 1991",1
min_ec,1.0,dS_per_m,Minimum EC for lettuce,environment,"Sonneveld & Voogt 2009",1
max_ec,2.5,dS_per_m,Maximum safe EC for lettuce,environment,"Sonneveld & Voogt 2009",1
optimal_ec,1.8,dS_per_m,Optimal EC for lettuce,environment,"Sonneveld & Voogt 2009",1
optimal_vpd_min,0.5,kPa,Minimum optimal VPD,environment,"Seginer et al. 1991",1
optimal_vpd_max,1.2,kPa,Maximum optimal VPD,environment,"Seginer et al. 1991",1
min_humidity,60.0,percent,Minimum relative humidity,environment,"Seginer et al. 1991",1
max_humidity,85.0,percent,Maximum relative humidity,environment,"Seginer et al. 1991",1
co2_enrichment_start_hour,6.0,hours,Hour to start CO2 enrichment,environment,"Seginer et al. 1991",1
co2_enrichment_duration,8.0,hours,Duration of CO2 enrichment,environment,"Seginer et al. 1991",1
co2_morning_target,800.0,ppm,Morning CO2 target,environment,"Seginer et al. 1991",1
co2_afternoon_target,600.0,ppm,Afternoon CO2 target,environment,"Seginer et al. 1991",1
target_vpd,0.7,kPa,Target vapor pressure deficit,environment,"Seginer et al. 1991",1
vpd_tolerance,0.3,kPa,VPD tolerance range,environment,"Seginer et al. 1991",1
day_temp,23.0,celsius,Target daytime temperature,environment,"Seginer et al. 1991",1
night_temp,19.0,celsius,Target nighttime temperature,environment,"Seginer et al. 1991",1
temp_tolerance,3.0,celsius,Temperature tolerance range,environment,"Seginer et al. 1991",1
target_co2,400.0,ppm,Target CO2 concentration,environment,"Seginer et al. 1991",1
ambient_co2,350.0,ppm,Ambient CO2 concentration,environment,"Seginer et al. 1991",1
co2_tolerance,50.0,ppm,CO2 tolerance range,environment,"Seginer et al. 1991",1
light_hours,16.0,hours,Photoperiod hours,environment,"Seginer et al. 1991",1
light_intensity_control,300.0,umol_per_m2_per_s,Light intensity for control,environment,"Seginer et al. 1991",1

# === PHENOLOGY PARAMETERS (SINGLE SOURCE) ===
base_temperature,4.0,celsius,Base temperature for lettuce development,phenology,"Tei et al. 1996",1
maximum_temperature,35.0,celsius,Maximum temperature for development,phenology,"Tei et al. 1996",1
photoperiod_sensitivity,0.05,days_per_hour,Photoperiod sensitivity,phenology,"Tei et al. 1996",1
thermal_time_scale,0.9,fraction,Thermal time scaling factor,phenology,"Tei et al. 1996",1
vernalization_temperature,5.0,celsius,Optimal vernalization temperature,phenology,"Tei et al. 1996",1
vernalization_days,0.0,days,Days of cold required (lettuce is day-neutral),phenology,"Tei et al. 1996",1
stress_acceleration_factor,1.3,fraction,Stress acceleration factor,phenology,"Tei et al. 1996",1
drought_threshold,0.6,fraction,Water stress threshold,phenology,"Tei et al. 1996",1
heat_threshold,28.0,celsius,Heat stress threshold,phenology,"Tei et al. 1996",1
critical_photoperiod,12.0,hours,Critical photoperiod for development,phenology,"Tei et al. 1996",1
photoperiod_slope,0.1,days_per_hour,Photoperiod response slope,phenology,"Tei et al. 1996",1
photoperiod_sensitive,false,boolean,Whether cultivar is photoperiod sensitive,phenology,"Tei et al. 1996",1
vernalization_required,false,boolean,Whether vernalization is required,phenology,"Tei et al. 1996",1

# === NITROGEN PARAMETERS (NITROGEN METABOLISM) ===
nitrogen_uptake_efficiency,0.15,fraction,Nitrogen uptake efficiency from solution,nitrogen_parameters,"Sonneveld & Voogt 2009",1
uptake_efficiency,0.15,fraction,Nitrogen uptake efficiency from solution,nitrogen_parameters,"Sonneveld & Voogt 2009",1
translocation_rate,0.35,fraction,Rate of nitrogen translocation,nitrogen_parameters,"Marschner 2012",1
protein_synthesis,0.65,fraction,Portion of nitrogen used for protein synthesis,nitrogen_parameters,"Marschner 2012",1
chlorophyll_ratio,0.025,fraction,Fraction of leaf nitrogen in chlorophyll,nitrogen_parameters,"Evans 1989",1
senescence_rate,0.70,fraction,Nitrogen recovery during senescence,nitrogen_parameters,"Himelblau & Amasino 2001",1
nitrate_reduction_rate,0.8,per_hour,Rate of nitrate reduction,nitrogen_parameters,"Marschner 2012",1
ammonium_assimilation_rate,1.2,per_hour,Rate of ammonium assimilation,nitrogen_parameters,"Marschner 2012",1
amino_acid_uptake_rate,0.4,per_hour,Rate of amino acid uptake,nitrogen_parameters,"Marschner 2012",1
photosynthetic_n_use_efficiency,40.0,g_DM_per_g_N,Photosynthetic nitrogen use efficiency,nitrogen_parameters,"Evans 1989",1
growth_n_use_efficiency,30.0,g_DM_per_g_N,Growth nitrogen use efficiency,nitrogen_parameters,"Sonneveld & Voogt 2009",1
n_stress_threshold,0.75,fraction,Nitrogen stress threshold,nitrogen_parameters,"Sonneveld & Voogt 2009",1
luxury_uptake_threshold,1.2,fraction,Luxury nitrogen uptake threshold,nitrogen_parameters,"Sonneveld & Voogt 2009",1
specific_root_activity,0.08,mg_N_per_cm_per_day,Specific root activity,nitrogen_parameters,"Sonneveld & Voogt 2009",1
root_zone_exploration,0.85,fraction,Root zone exploration efficiency,nitrogen_parameters,"Sonneveld & Voogt 2009",1

# === NITROGEN METABOLISM PARAMETERS ===
uptake_efficiency,0.15,fraction,Nitrogen uptake efficiency from solution,nitrogen_balance,"Sonneveld & Voogt 2009",1
nitrogen_uptake_efficiency,0.15,fraction,Minimal nitrogen uptake efficiency,nitrogen_balance,"Sonneveld & Voogt 2009",1
translocation_rate,0.35,fraction,Rate of nitrogen translocation,nitrogen_balance,"Marschner 2012",1
protein_synthesis,0.65,fraction,Portion of nitrogen used for protein synthesis,nitrogen_balance,"Marschner 2012",1
chlorophyll_ratio,0.025,fraction,Fraction of leaf nitrogen in chlorophyll,nitrogen_balance,"Evans 1989",1
senescence_rate,0.70,fraction,Nitrogen recovery during senescence,nitrogen_balance,"Himelblau & Amasino 2001",1
nitrate_reduction_rate,0.8,per_hour,Rate of nitrate reduction,nitrogen_balance,"Marschner 2012",1
ammonium_assimilation_rate,1.2,per_hour,Rate of ammonium assimilation,nitrogen_balance,"Marschner 2012",1
amino_acid_uptake_rate,0.4,per_hour,Rate of amino acid uptake,nitrogen_balance,"Marschner 2012",1
photosynthetic_n_use_efficiency,40.0,g_DM_per_g_N,Photosynthetic nitrogen use efficiency,nitrogen_balance,"Evans 1989",1
growth_n_use_efficiency,30.0,g_DM_per_g_N,Growth nitrogen use efficiency,nitrogen_balance,"Evans 1989",1
n_stress_threshold,0.75,fraction,Nitrogen stress threshold,nitrogen_balance,"Sonneveld & Voogt 2009",1
luxury_uptake_threshold,1.2,fraction,Luxury nitrogen uptake threshold,nitrogen_balance,"Sonneveld & Voogt 2009",1
specific_root_activity,0.08,mg_N_per_cm_per_day,Specific root activity,nitrogen_balance,"Sonneveld & Voogt 2009",1
root_zone_exploration,0.85,fraction,Root zone exploration efficiency,nitrogen_balance,"Sonneveld & Voogt 2009",1

# === TEMPERATURE STRESS PARAMETERS (TEMPERATURE STRESS MODEL) ===
heat_threshold_mild,25.0,celsius,Mild heat stress threshold,stress_parameters,"Seginer et al. 1991",1
heat_threshold_moderate,28.0,celsius,Moderate heat stress threshold,stress_parameters,"Seginer et al. 1991",1
heat_threshold_severe,32.0,celsius,Severe heat stress threshold,stress_parameters,"Seginer et al. 1991",1
cold_threshold_mild,18.0,celsius,Mild cold stress threshold,stress_parameters,"Seginer et al. 1991",1
cold_threshold_moderate,15.0,celsius,Moderate cold stress threshold,stress_parameters,"Seginer et al. 1991",1
cold_threshold_severe,12.0,celsius,Severe cold stress threshold,stress_parameters,"Seginer et al. 1991",1
frost_threshold,0.0,celsius,Frost threshold,stress_parameters,"Seginer et al. 1991",1
heat_lethal_temperature,40.0,celsius,Heat lethal temperature,stress_parameters,"Seginer et al. 1991",1
cold_lethal_temperature,5.0,celsius,Cold lethal temperature,stress_parameters,"Seginer et al. 1991",1
acclimation_rate,0.05,per_day,Acclimation rate,stress_parameters,"Seginer et al. 1991",1
acclimation_decay_rate,0.02,per_day,Acclimation decay rate,stress_parameters,"Seginer et al. 1991",1
memory_effect_strength,0.4,fraction,Memory effect strength,stress_parameters,"Seginer et al. 1991",1
temperature_q10,2.0,unitless,Q10 temperature factor,stress_parameters,"Seginer et al. 1991",1
photosynthesis_heat_sensitivity,0.8,fraction,Photosynthesis heat sensitivity,stress_parameters,"Seginer et al. 1991",1
photosynthesis_cold_sensitivity,0.7,fraction,Photosynthesis cold sensitivity,stress_parameters,"Seginer et al. 1991",1
respiration_heat_sensitivity,0.6,fraction,Respiration heat sensitivity,stress_parameters,"Seginer et al. 1991",1
respiration_cold_sensitivity,0.5,fraction,Respiration cold sensitivity,stress_parameters,"Seginer et al. 1991",1
growth_heat_sensitivity,0.9,fraction,Growth heat sensitivity,stress_parameters,"Seginer et al. 1991",1
growth_cold_sensitivity,0.8,fraction,Growth cold sensitivity,stress_parameters,"Seginer et al. 1991",1
development_heat_sensitivity,0.7,fraction,Development heat sensitivity,stress_parameters,"Seginer et al. 1991",1
development_cold_sensitivity,0.6,fraction,Development cold sensitivity,stress_parameters,"Seginer et al. 1991",1
max_acclimation_days,14,days,Maximum acclimation days,stress_parameters,"Seginer et al. 1991",1
acclimation_memory_days,7,days,Acclimation memory duration,stress_parameters,"Seginer et al. 1991",1
stress_memory_days,21,days,Stress memory duration,stress_parameters,"Seginer et al. 1991",1
recovery_memory_days,14,days,Recovery memory duration,stress_parameters,"Seginer et al. 1991",1
heat_damage_threshold,35.0,celsius,Heat damage threshold,stress_parameters,"Seginer et al. 1991",1
cold_damage_threshold,8.0,celsius,Cold damage threshold,stress_parameters,"Seginer et al. 1991",1
heat_recovery_threshold,28.0,celsius,Heat recovery threshold,stress_parameters,"Seginer et al. 1991",1
cold_recovery_threshold,16.0,celsius,Cold recovery threshold,stress_parameters,"Seginer et al. 1991",1
heat_damage_rate,0.1,per_day,Heat damage rate,stress_parameters,"Seginer et al. 1991",1
cold_damage_rate,0.08,per_day,Cold damage rate,stress_parameters,"Seginer et al. 1991",1
heat_recovery_rate,0.15,per_day,Heat recovery rate,stress_parameters,"Seginer et al. 1991",1
cold_recovery_rate,0.12,per_day,Cold recovery rate,stress_parameters,"Seginer et al. 1991",1
frost_damage_rate,0.15,per_day,Frost damage rate,stress_parameters,"Seginer et al. 1991",1
frost_recovery_rate,0.08,per_day,Frost recovery rate,stress_parameters,"Seginer et al. 1991",1
frost_recovery_threshold,4.0,celsius,Frost recovery threshold,stress_parameters,"Seginer et al. 1991",1
recovery_rate_heat,0.15,per_day,Heat recovery rate,stress_parameters,"Seginer et al. 1991",1
recovery_rate_cold,0.12,per_day,Cold recovery rate,stress_parameters,"Seginer et al. 1991",1
recovery_rate_frost,0.08,per_day,Frost recovery rate,stress_parameters,"Seginer et al. 1991",1
damage_rate_heat,0.1,per_day,Heat damage rate,stress_parameters,"Seginer et al. 1991",1
damage_rate_cold,0.08,per_day,Cold damage rate,stress_parameters,"Seginer et al. 1991",1
damage_rate_frost,0.15,per_day,Frost damage rate,stress_parameters,"Seginer et al. 1991",1
stress_memory_duration,21,days,Stress memory duration,stress_parameters,"Seginer et al. 1991",1
acclimation_memory_duration,7,days,Acclimation memory duration,stress_parameters,"Seginer et al. 1991",1
recovery_memory_duration,14,days,Recovery memory duration,stress_parameters,"Seginer et al. 1991",1
cumulative_stress_threshold,0.8,fraction,Cumulative stress threshold,stress_parameters,"Seginer et al. 1991",1
stress_interaction_factor,1.2,fraction,Stress interaction factor,stress_parameters,"Seginer et al. 1991",1

# === SENESCENCE PARAMETERS (SENESCENCE MODEL) ===
phosphorus_recovery,0.65,fraction,Phosphorus recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
nitrogen_recovery,0.75,fraction,Nitrogen recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
potassium_recovery,0.80,fraction,Potassium recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
calcium_recovery,0.30,fraction,Calcium recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
magnesium_recovery,0.60,fraction,Magnesium recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
sulfur_recovery,0.70,fraction,Sulfur recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
iron_recovery,0.40,fraction,Iron recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
manganese_recovery,0.35,fraction,Manganese recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
zinc_recovery,0.50,fraction,Zinc recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
copper_recovery,0.45,fraction,Copper recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
boron_recovery,0.25,fraction,Boron recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
molybdenum_recovery,0.85,fraction,Molybdenum recovery efficiency,senescence_parameters,"Himelblau & Amasino 2001",1
natural_lifespan_gdd,800.0,gdd,Natural leaf lifespan in GDD,senescence_parameters,"Gregersen et al. 2013",1
age_senescence_rate,0.02,per_day,Age-based senescence rate,senescence_parameters,"Gregersen et al. 2013",1
water_stress_threshold,0.6,fraction,Water stress senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
nitrogen_stress_threshold,0.7,fraction,Nitrogen stress senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
temperature_stress_threshold,0.8,fraction,Temperature stress senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
light_stress_threshold,0.5,fraction,Light stress senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
water_stress_rate,0.05,per_day,Water stress senescence rate,senescence_parameters,"Gregersen et al. 2013",1
nitrogen_stress_rate,0.08,per_day,Nitrogen stress senescence rate,senescence_parameters,"Gregersen et al. 2013",1
temperature_stress_rate,0.06,per_day,Temperature stress senescence rate,senescence_parameters,"Gregersen et al. 2013",1
light_stress_rate,0.04,per_day,Light stress senescence rate,senescence_parameters,"Gregersen et al. 2013",1
early_senescence_threshold,0.2,fraction,Early senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
active_senescence_threshold,0.5,fraction,Active senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
late_senescence_threshold,0.8,fraction,Late senescence threshold,senescence_parameters,"Gregersen et al. 2013",1
death_threshold,1.0,fraction,Death threshold,senescence_parameters,"Gregersen et al. 2013",1
recovery_rate,0.03,per_day,Senescence recovery rate,senescence_parameters,"Gregersen et al. 2013",1
max_recovery,0.3,fraction,Maximum recovery from senescence,senescence_parameters,"Gregersen et al. 2013",1
reproductive_priority_factor,1.2,fraction,Reproductive priority factor,senescence_parameters,"Gregersen et al. 2013",1
lower_canopy_factor,1.5,fraction,Lower canopy senescence factor,senescence_parameters,"Gregersen et al. 2013",1

# === ROOT SYSTEM PARAMETERS ===
primary_root_growth_rate,2.0,cm_per_day,Primary root growth rate,root_system,"Sonneveld & Voogt 2009",1
lateral_root_density,3.0,roots_per_cm,Lateral root density,root_system,"Sonneveld & Voogt 2009",1
branching_angle_mean,45.0,degrees,Mean branching angle,root_system,"Sonneveld & Voogt 2009",1
branching_angle_std,10.0,degrees,Standard deviation of branching angle,root_system,"Sonneveld & Voogt 2009",1
fine_root_fraction,0.65,fraction,Fraction of fine roots,root_system,"Sonneveld & Voogt 2009",1
medium_root_fraction,0.25,fraction,Fraction of medium roots,root_system,"Sonneveld & Voogt 2009",1
coarse_root_fraction,0.10,fraction,Fraction of coarse roots,root_system,"Sonneveld & Voogt 2009",1
fine_diameter_mean,0.1,mm,Mean fine root diameter,root_system,"Sonneveld & Voogt 2009",1
fine_diameter_std,0.02,mm,Standard deviation of fine root diameter,root_system,"Sonneveld & Voogt 2009",1
medium_diameter_mean,0.4,mm,Mean medium root diameter,root_system,"Sonneveld & Voogt 2009",1
medium_diameter_std,0.1,mm,Standard deviation of medium root diameter,root_system,"Sonneveld & Voogt 2009",1
coarse_diameter_mean,1.0,mm,Mean coarse root diameter,root_system,"Sonneveld & Voogt 2009",1
coarse_diameter_std,0.2,mm,Standard deviation of coarse root diameter,root_system,"Sonneveld & Voogt 2009",1
fine_turnover_rate,0.02,per_day,Fine root turnover rate,root_system,"Sonneveld & Voogt 2009",1
medium_turnover_rate,0.01,per_day,Medium root turnover rate,root_system,"Sonneveld & Voogt 2009",1
coarse_turnover_rate,0.005,per_day,Coarse root turnover rate,root_system,"Sonneveld & Voogt 2009",1
fine_root_half_life_days,35.0,days,Fine root half-life,root_system,"Sonneveld & Voogt 2009",1
medium_root_half_life_days,70.0,days,Medium root half-life,root_system,"Sonneveld & Voogt 2009",1
coarse_root_half_life_days,140.0,days,Coarse root half-life,root_system,"Sonneveld & Voogt 2009",1

# === STRESS PARAMETERS (STRESS RESPONSE THRESHOLDS) ===
optimal_vpd_min,0.5,kPa,Minimum optimal vapor pressure deficit,stress_parameters,"Seginer et al. 1991",1
optimal_vpd_max,1.2,kPa,Maximum optimal vapor pressure deficit,stress_parameters,"Seginer et al. 1991",1
optimal_ec,1.8,dS_per_m,Optimal electrical conductivity for growth,stress_parameters,"Sonneveld & Voogt 2009",1
optimal_ec_min,1.0,dS_per_m,Minimum optimal electrical conductivity for growth,stress_parameters,"Sonneveld & Voogt 2009",1
optimal_ec_max,2.5,dS_per_m,Maximum optimal electrical conductivity for growth,stress_parameters,"Sonneveld & Voogt 2009",1
vpd_stress_high_factor,0.25,fraction,Growth reduction when vapor pressure deficit is too high,stress_parameters,"Seginer et al. 1991",1
vpd_stress_low_factor,0.15,fraction,Growth reduction when vapor pressure deficit is too low,stress_parameters,"Seginer et al. 1991",1
ec_stress_high_factor,0.2,fraction,Growth reduction when electrical conductivity is too high,stress_parameters,"Sonneveld & Voogt 2009",1
