parameter_name,value,unit,description
critical_n_concentrations_leaves_maximum,0.060,g_N_g_dry_mass,Maximum nitrogen concentration in leaves
critical_n_concentrations_stems_minimum,0.008,g_N_g_dry_mass,Minimum nitrogen concentration in stems
critical_n_concentrations_stems_critical,0.015,g_N_g_dry_mass,Critical nitrogen concentration in stems
critical_n_concentrations_stems_optimal,0.025,g_N_g_dry_mass,Optimal nitrogen concentration in stems
critical_n_concentrations_stems_maximum,0.035,g_N_g_dry_mass,Maximum nitrogen concentration in stems
critical_n_concentrations_roots_minimum,0.012,g_N_g_dry_mass,Minimum nitrogen concentration in roots
critical_n_concentrations_roots_critical,0.020,g_N_g_dry_mass,Critical nitrogen concentration in roots
critical_n_concentrations_roots_optimal,0.035,g_N_g_dry_mass,Optimal nitrogen concentration in roots
critical_n_concentrations_roots_maximum,0.050,g_N_g_dry_mass,Maximum nitrogen concentration in roots
critical_n_concentrations_reproductive_minimum,0.020,g_N_g_dry_mass,Minimum nitrogen concentration in reproductive organs
critical_n_concentrations_reproductive_critical,0.030,g_N_g_dry_mass,Critical nitrogen concentration in reproductive organs
critical_n_concentrations_reproductive_optimal,0.050,g_N_g_dry_mass,Optimal nitrogen concentration in reproductive organs
critical_n_concentrations_reproductive_maximum,0.070,g_N_g_dry_mass,Maximum nitrogen concentration in reproductive organs
mobility_classifications_nitrogen_mobility,highly_mobile,string,Mobility classification for nitrogen
mobility_classifications_nitrogen_transport,bidirectional,string,Transport classification for nitrogen
remobilization_efficiency_nitrogen,0.8,dimensionless,Remobilization efficiency for nitrogen
deficiency_mobility_nitrogen,very_high,string,Deficiency mobility for nitrogen
retranslocation_rate_nitrogen,0.05,g_g_day,Retranslocation rate for nitrogen
xylem_transport_rates_nitrogen,0.15,g_g_day,Xylem transport rate for nitrogen
mobility_classifications_phosphorus_mobility,immobile,string,Mobility classification for phosphorus
mobility_classifications_phosphorus_transport,phloem_only,string,Transport classification for phosphorus
remobilization_efficiency_phosphorus,0.6,dimensionless,Remobilization efficiency for phosphorus
deficiency_mobility_phosphorus,low,string,Deficiency mobility for phosphorus
retranslocation_rate_phosphorus,0.02,g_g_day,Retranslocation rate for phosphorus
xylem_transport_rates_phosphorus,0.08,g_g_day,Xylem transport rate for phosphorus
mobility_classifications_potassium_mobility,highly_mobile,string,Mobility classification for potassium
mobility_classifications_potassium_transport,bidirectional,string,Transport classification for potassium
remobilization_efficiency_potassium,0.7,dimensionless,Remobilization efficiency for potassium
deficiency_mobility_potassium,very_high,string,Deficiency mobility for potassium
retranslocation_rate_potassium,0.04,g_g_day,Retranslocation rate for potassium
xylem_transport_rates_potassium,0.12,g_g_day,Xylem transport rate for potassium
mobility_classifications_calcium_mobility,immobile,string,Mobility classification for calcium
mobility_classifications_calcium_transport,xylem_only,string,Transport classification for calcium
remobilization_efficiency_calcium,0.1,dimensionless,Remobilization efficiency for calcium
deficiency_mobility_calcium,very_low,string,Deficiency mobility for calcium
retranslocation_rate_calcium,0.001,g_g_day,Retranslocation rate for calcium
xylem_transport_rates_calcium,0.06,g_g_day,Xylem transport rate for calcium
mobility_classifications_magnesium_mobility,moderately_mobile,string,Mobility classification for magnesium
mobility_classifications_magnesium_transport,bidirectional,string,Transport classification for magnesium
remobilization_efficiency_magnesium,0.5,dimensionless,Remobilization efficiency for magnesium
deficiency_mobility_magnesium,high,string,Deficiency mobility for magnesium
retranslocation_rate_magnesium,0.02,g_g_day,Retranslocation rate for magnesium
xylem_transport_rates_magnesium,0.08,g_g_day,Xylem transport rate for magnesium
mobility_classifications_sulfur_mobility,moderately_mobile,string,Mobility classification for sulfur
mobility_classifications_sulfur_transport,bidirectional,string,Transport classification for sulfur
remobilization_efficiency_sulfur,0.4,dimensionless,Remobilization efficiency for sulfur
deficiency_mobility_sulfur,high,string,Deficiency mobility for sulfur
retranslocation_rate_sulfur,0.015,g_g_day,Retranslocation rate for sulfur
xylem_transport_rates_sulfur,0.07,g_g_day,Xylem transport rate for sulfur
phloem_transport_factor,0.4,fraction,Phloem transport rate as fraction of xylem rate
ec_stress_min_threshold,0.3,dimensionless,Minimum EC stress threshold
ec_boost_max_n,1.3,dimensionless,Maximum EC boost for nitrogen
ec_boost_max_p,1.2,dimensionless,Maximum EC boost for phosphorus
ec_boost_max_k,1.4,dimensionless,Maximum EC boost for potassium
temperature_factor_base,1.0,dimensionless,Base temperature factor for nutrient calculations
ph_factor_base,1.0,dimensionless,Base pH factor for nutrient calculations
reference_daily_growth_rate,1.0,g/day,Reference daily growth rate
rhizosphere_thickness_cm,0.1,cm,Rhizosphere thickness
minimum_root_zone_volume_L,0.01,L,Minimum root zone volume
transport_pool_fraction_multiplier,0.2,dimensionless,Transport pool fraction multiplier
deficiency_mobility_very_high_factor,1.2,dimensionless,Deficiency mobility factor for very high mobility
deficiency_mobility_high_factor,1.1,dimensionless,Deficiency mobility factor for high mobility
deficiency_mobility_low_factor,0.8,dimensionless,Deficiency mobility factor for low mobility
deficiency_mobility_very_low_factor,0.6,dimensionless,Deficiency mobility factor for very low mobility
base_supply_storage_pool_fraction,0.1,dimensionless,Base supply storage pool fraction
base_supply_buffer_pool_fraction,0.05,dimensionless,Base supply buffer pool fraction
stress_redistribution_threshold,0.3,dimensionless,Stress threshold for nutrient redistribution
max_transportable_nutrient_fraction,0.3,dimensionless,Maximum transportable nutrient fraction
transport_reference_temperature,25.0,°C,Reference temperature for transport Q10
bidirectional_xylem_fraction,0.6,dimensionless,Bidirectional xylem transport fraction
bidirectional_phloem_fraction,0.4,dimensionless,Bidirectional phloem transport fraction
metabolic_pool_export_limit_fraction,0.1,dimensionless,Metabolic pool export limit fraction
transport_pool_max_fraction,0.1,dimensionless,Maximum transport pool fraction
transport_pool_target_fraction,0.05,dimensionless,Target transport pool fraction
excess_to_metabolic_fraction,0.6,dimensionless,Excess nutrients to metabolic pool fraction
excess_to_storage_fraction,0.3,dimensionless,Excess nutrients to storage pool fraction
excess_to_buffer_fraction,0.1,dimensionless,Excess nutrients to buffer pool fraction
highly_mobile_base_efficiency,0.8,dimensionless,Base efficiency for highly mobile nutrients
moderately_mobile_base_efficiency,0.6,dimensionless,Base efficiency for moderately mobile nutrients
poorly_mobile_base_efficiency,0.3,dimensionless,Base efficiency for poorly mobile nutrients
immobile_base_efficiency,0.1,dimensionless,Base efficiency for immobile nutrients
bidirectional_transport_factor,1.2,dimensionless,Transport mechanism efficiency - bidirectional
complex_transport_factor,0.9,dimensionless,Transport mechanism efficiency - complex
xylem_only_transport_factor,0.7,dimensionless,Transport mechanism efficiency - xylem only
phloem_only_transport_factor,1.0,dimensionless,Transport mechanism efficiency - phloem only
transport_limitation_threshold,0.8,dimensionless,Transport limitation threshold
tissue_nitrogen_content_fraction,0.04,g_N_per_g_DM,Nitrogen content as fraction of dry matter (typical for lettuce)
tissue_phosphorus_content_fraction,0.005,g_P_per_g_DM,Phosphorus content as fraction of dry matter
tissue_potassium_content_fraction,0.035,g_K_per_g_DM,Potassium content as fraction of dry matter
organ_allocation_no3_roots,0.3,dimensionless,Fraction of NO3 demand allocated to roots
organ_allocation_nh4_roots,0.15,dimensionless,Fraction of NH4 demand allocated to roots
organ_allocation_po4_roots,0.4,dimensionless,Fraction of PO4 demand allocated to roots
organ_allocation_k_roots,0.35,dimensionless,Fraction of K demand allocated to roots
organ_allocation_no3_leaves,0.5,dimensionless,Fraction of NO3 demand allocated to leaves
organ_allocation_nh4_leaves,0.25,dimensionless,Fraction of NH4 demand allocated to leaves
organ_allocation_po4_leaves,0.4,dimensionless,Fraction of PO4 demand allocated to leaves
organ_allocation_k_leaves,0.45,dimensionless,Fraction of K demand allocated to leaves
organ_allocation_no3_stems,0.2,dimensionless,Fraction of NO3 demand allocated to stems
organ_allocation_nh4_stems,0.1,dimensionless,Fraction of NH4 demand allocated to stems
organ_allocation_po4_stems,0.2,dimensionless,Fraction of PO4 demand allocated to stems
organ_allocation_k_stems,0.2,dimensionless,Fraction of K demand allocated to stems
carbon_assimilate_allocation_roots,0.3,dimensionless,Fraction of net carbon assimilates allocated to roots
carbon_assimilate_allocation_leaves,0.5,dimensionless,Fraction of net carbon assimilates allocated to leaves
carbon_assimilate_allocation_stems,0.2,dimensionless,Fraction of net carbon assimilates allocated to stems
temperature_coefficient_alpha,0.02,per_°C,Temperature coefficient for conductivity relative to 25°C
molar_mass_N-NO3,62.0049,g_per_mol,Molar mass of nitrate ion (NO3-)
molar_mass_N-NH4,18.0385,g_per_mol,Molar mass of ammonium ion (NH4+)
molar_mass_P-PO4,94.9714,g_per_mol,Molar mass of phosphate ion (PO4^3-)
molar_mass_K,39.0983,g_per_mol,Molar mass of potassium ion (K+)
molar_mass_Ca,40.078,g_per_mol,Molar mass of calcium ion (Ca2+)
molar_mass_Mg,24.305,g_per_mol,Molar mass of magnesium ion (Mg2+)
molar_mass_S-SO4,96.06,g_per_mol,Molar mass of sulfate ion (SO4^2-)
lambda0_25C_N-NO3,71.4,S_cm2_per_mol,Limiting molar conductivity at 25C for NO3-
lambda0_25C_N-NH4,73.5,S_cm2_per_mol,Limiting molar conductivity at 25C for NH4+
lambda0_25C_P-PO4,44.5,S_cm2_per_mol,Approximate molar conductivity for HPO4^2- proxy
lambda0_25C_K,73.5,S_cm2_per_mol,Limiting molar conductivity at 25C for K+
lambda0_25C_Ca,238.0,S_cm2_per_mol,Approximate molar conductivity for Ca2+ (2*119 S·cm2/eq)
lambda0_25C_Mg,212.0,S_cm2_per_mol,Approximate molar conductivity for Mg2+ (2*106 S·cm2/eq)
lambda0_25C_S-SO4,320.0,S_cm2_per_mol,Approximate molar conductivity for SO4^2- (2*160 S·cm2/eq)
valence_N-NO3,-1,dimensionless,Valence of nitrate ion
valence_N-NH4,1,dimensionless,Valence of ammonium ion
valence_P-PO4,-2,dimensionless,Using HPO4^2- proxy for phosphate system
valence_K,1,dimensionless,Valence of potassium ion
valence_Ca,2,dimensionless,Valence of calcium ion
valence_Mg,2,dimensionless,Valence of magnesium ion
valence_S-SO4,-2,dimensionless,Valence of sulfate ion
