date,temp_avg,temp_min,temp_max,solar_radiation,rel_humidity,wind_speed,rainfall,co2_ppm,rzt,par,vpd
2024-09-10,23.3,18.8,29.4,14.9,64.0,3.0,0.0,1200.0,26.3,837.50,1.05
2024-09-11,22.3,18.5,27.2,18.1,66.0,1.5,0.0,1200.0,25.3,1017.36,0.97
2024-09-12,21.5,18.0,27.4,19.7,57.0,2.1,0.0,1200.0,24.5,1107.64,1.22
2024-09-13,22.1,18.6,29.0,20.6,58.0,2.2,0.0,1200.0,25.1,1158.33,1.22
2024-09-14,23.9,21.5,28.9,19.0,62.0,2.6,0.0,1200.0,26.9,1067.36,1.15
2024-09-15,21.9,17.4,27.9,19.1,66.0,2.5,0.0,1200.0,24.9,1073.61,0.95
2024-09-16,23.1,19.9,28.4,18.0,70.0,1.9,0.0,1200.0,26.1,1011.81,0.88
2024-09-17,24.1,20.1,30.6,13.1,52.0,1.8,0.0,1200.0,27.1,736.11,1.49
2024-09-18,22.5,19.6,28.1,21.9,60.0,1.8,0.0,1200.0,25.5,1230.75,1.13
2024-09-19,23.7,19.9,28.9,18.1,64.0,2.6,0.0,1200.0,26.7,1017.36,1.08
2024-09-20,23.3,19.6,26.4,18.1,60.0,1.5,0.0,1200.0,26.3,1017.36,1.15
2024-09-21,20.6,17.6,26.5,13.6,65.0,2.1,0.0,1200.0,23.6,764.58,0.97
2024-09-22,22.4,20.3,28.5,18.8,62.0,2.4,0.0,1200.0,25.4,1056.25,1.08
2024-09-23,22.3,17.7,27.8,19.4,61.0,2.9,0.0,1200.0,25.3,1090.28,1.11
2024-09-24,19.6,14.9,24.9,15.7,61.0,2.1,0.0,1200.0,22.6,882.64,1.06
2024-09-25,20.7,18.1,26.6,20.6,59.0,2.9,0.0,1200.0,23.7,1158.33,1.15
2024-09-26,21.6,18.8,28.5,20.5,67.0,2.9,0.0,1200.0,24.6,1152.78,0.93
2024-09-27,21.8,18.8,28.0,14.9,67.0,2.0,0.0,1200.0,24.8,837.50,0.94
2024-09-28,21.5,17.6,27.0,15.6,67.0,2.8,0.0,1200.0,24.5,876.39,0.93
2024-09-29,19.0,15.1,25.6,13.5,71.0,2.0,0.0,1200.0,22.0,758.68,0.77
2024-09-30,19.8,15.2,24.8,17.5,67.0,2.4,0.0,1200.0,22.8,983.51,0.88
2024-10-01,22.7,20.0,29.1,16.1,74.0,2.4,0.0,1200.0,25.7,904.86,0.75
2024-10-02,19.9,15.7,26.3,17.8,69.0,2.9,0.0,1200.0,22.9,1000.00,0.83
2024-10-03,20.2,15.9,23.4,17.5,66.0,2.2,0.0,1200.0,23.2,983.51,0.91
2024-10-04,20.8,16.1,27.1,17.3,68.0,3.0,0.0,1200.0,23.8,972.22,0.89
2024-10-05,22.3,19.5,27.9,17.5,71.0,2.7,0.0,1200.0,25.3,983.51,0.83
2024-10-06,20.4,16.0,27.2,18.5,59.0,2.5,0.0,1200.0,23.4,1039.58,1.10
2024-10-07,22.2,17.7,27.3,15.0,72.0,2.2,0.0,1200.0,25.2,843.06,0.80
2024-10-08,19.9,15.5,25.1,13.7,70.0,3.0,0.0,1200.0,22.9,770.14,0.80
2024-10-09,20.6,18.3,27.3,13.4,71.0,2.9,0.0,1200.0,23.6,753.47,0.80
2024-10-10,21.4,17.2,26.2,16.0,74.0,2.7,0.0,1200.0,24.4,898.61,0.73
2024-10-11,20.6,17.2,26.6,17.5,68.0,2.4,0.0,1200.0,23.6,983.51,0.88
2024-10-12,18.8,16.0,23.5,16.6,65.0,1.6,0.0,1200.0,21.8,932.64,0.92
2024-10-13,21.1,16.3,27.9,16.9,66.0,2.8,0.0,1200.0,24.1,949.31,0.94
2024-10-14,20.7,16.4,27.2,14.3,62.0,1.7,0.0,1200.0,23.7,803.47,0.99
2024-10-15,22.5,17.6,27.1,13.5,66.0,2.6,0.0,1200.0,25.5,758.68,0.96
2024-10-16,18.4,14.2,22.0,16.2,68.0,1.5,0.0,1200.0,21.4,910.42,0.84
2024-10-17,18.0,13.9,22.3,16.5,58.0,2.5,0.0,1200.0,21.0,927.08,1.05
2024-10-18,20.1,15.2,23.2,18.7,73.0,1.7,0.0,1200.0,23.1,1050.69,0.72
2024-10-19,20.7,16.0,25.2,19.5,58.0,2.2,0.0,1200.0,23.7,1095.83,1.13
2024-10-20,19.9,16.4,25.9,17.6,69.0,1.7,0.0,1200.0,22.9,989.58,0.83
2024-10-21,20.8,18.0,25.4,12.1,59.0,2.1,0.0,1200.0,23.8,679.86,1.13
2024-10-22,20.9,18.4,27.6,12.5,62.0,1.6,0.0,1200.0,23.9,702.08,1.03
2024-10-23,18.5,15.3,24.6,16.0,65.0,2.5,0.0,1200.0,21.5,898.61,0.91
2024-10-24,19.4,15.3,24.3,13.7,70.0,1.8,0.0,1200.0,22.4,770.14,0.80
2024-10-25,18.7,14.5,23.7,10.1,66.0,2.4,0.0,1200.0,21.7,567.36,0.88
2024-10-26,17.0,13.9,22.1,12.1,63.0,2.6,0.0,1200.0,20.0,679.86,0.92
2024-10-27,19.1,16.4,23.8,13.5,64.0,2.8,0.0,1200.0,22.1,758.68,0.94
2024-10-28,17.6,13.3,23.3,14.4,67.0,2.0,0.0,1200.0,20.6,809.03,0.83
2024-10-29,19.7,17.6,23.4,12.2,58.0,2.9,0.0,1200.0,22.7,686.11,1.10
2024-10-30,19.6,16.6,26.2,17.1,65.0,2.8,0.0,1200.0,22.6,960.42,0.93
2024-10-31,18.4,14.0,24.5,16.2,57.0,2.3,0.0,1200.0,21.4,910.42,1.05
