parameter_name,value,unit,description
flow_stress_threshold,4.0,L_min,Flow rate stress threshold
root_growth_auxin_decay_rate,0.1,per_zone,Auxin decay rate for growth potential
root_optimal_density,50.0,cm_per_cm3,Optimal root length density
root_density_stress_factor,0.3,dimensionless,Root density stress factor
root_temperature_optimum,20.0,°C,Optimal root temperature
root_temperature_maximum,35.0,°C,Maximum root temperature
root_temperature_minimum_factor,0.1,dimensionless,Minimum temperature factor for roots
root_oxygen_optimum,8.0,mg_L,Optimal dissolved oxygen level
root_oxygen_minimum_factor,0.2,dimensionless,Minimum oxygen factor
ph_stress_range_acidic,1.0,pH_units,pH stress range on acidic side
ph_stress_range_basic,1.5,pH_units,pH stress range on basic side
ph_stress_factor,0.5,dimensionless,pH stress factor
young_root_activity,0.9,dimensionless,Activity factor for young roots
old_root_activity,0.4,dimensionless,Activity factor for old roots
no3_uptake_vmax,0.03,mg_cm2_day,Maximum nitrate uptake rate
no3_uptake_km,50.0,mg_L,Michaelis constant for nitrate uptake
nh4_uptake_vmax,0.02,mg_cm2_day,Maximum ammonium uptake rate
nh4_uptake_km,20.0,mg_L,Michaelis constant for ammonium uptake
po4_uptake_vmax,0.08,mg_cm2_day,Maximum phosphate uptake rate
po4_uptake_km,15.0,mg_L,Michaelis constant for phosphate uptake
k_uptake_vmax,0.10,mg_cm2_day,Maximum potassium uptake rate
k_uptake_km,30.0,mg_L,Michaelis constant for potassium uptake
ca_uptake_vmax,0.06,mg_cm2_day,Maximum calcium uptake rate
ca_uptake_km,40.0,mg_L,Michaelis constant for calcium uptake
mg_uptake_vmax,0.05,mg_cm2_day,Maximum magnesium uptake rate
mg_uptake_km,25.0,mg_L,Michaelis constant for magnesium uptake
so4_uptake_vmax,0.04,mg_cm2_day,Maximum sulfate uptake rate
so4_uptake_km,35.0,mg_L,Michaelis constant for sulfate uptake
system_multipliers_nutrient_film_technique_root_length_multiplier,1.2,dimensionless,NFT root length multiplier
system_multipliers_nutrient_film_technique_surface_area_multiplier,1.3,dimensionless,NFT surface area multiplier
system_multipliers_nutrient_film_technique_branching_multiplier,1.1,dimensionless,NFT branching multiplier
system_multipliers_deep_water_culture_root_length_multiplier,1.0,dimensionless,DWC root length multiplier
system_multipliers_deep_water_culture_surface_area_multiplier,1.0,dimensionless,DWC surface area multiplier
system_multipliers_deep_water_culture_branching_multiplier,1.0,dimensionless,DWC branching multiplier
system_multipliers_aeroponics_root_length_multiplier,1.5,dimensionless,Aeroponics root length multiplier
system_multipliers_aeroponics_surface_area_multiplier,1.4,dimensionless,Aeroponics surface area multiplier
system_multipliers_aeroponics_branching_multiplier,1.3,dimensionless,Aeroponics branching multiplier
nutrient_demand_weight_no3,0.4,dimensionless,Nitrogen demand weight
nutrient_demand_weight_po4,0.2,dimensionless,Phosphate demand weight
nutrient_demand_weight_k,0.2,dimensionless,Potassium demand weight
nutrient_demand_weight_ca,0.1,dimensionless,Calcium demand weight
nutrient_demand_weight_mg,0.1,dimensionless,Magnesium demand weight
nutrient_ref_concentration_no3,200.0,mg_L,Nitrogen reference concentration
nutrient_ref_concentration_po4,50.0,mg_L,Phosphate reference concentration
nutrient_ref_concentration_k,300.0,mg_L,Potassium reference concentration
nutrient_ref_concentration_ca,200.0,mg_L,Calcium reference concentration
nutrient_ref_concentration_mg,50.0,mg_L,Magnesium reference concentration
nutrient_competition_no3,NH4,string,NO3 competition group
nutrient_competition_nh4,NO3,string,NH4 competition group
nutrient_competition_po4,K-Ca,string,PO4 competition group
nutrient_competition_k,Ca-Mg,string,K competition group
nutrient_competition_ca,K-Mg,string,Ca competition group
nutrient_competition_mg,K-Ca,string,Mg competition group
ph_optimum_no3_min,5.5,pH,NO3 optimal pH minimum
ph_optimum_no3_max,6.5,pH,NO3 optimal pH maximum
ph_optimum_nh4_min,6.0,pH,NH4 optimal pH minimum
ph_optimum_nh4_max,7.0,pH,NH4 optimal pH maximum
ph_optimum_po4_min,6.0,pH,PO4 optimal pH minimum
ph_optimum_po4_max,7.0,pH,PO4 optimal pH maximum
ph_optimum_k_min,5.5,pH,K optimal pH minimum
ph_optimum_k_max,7.5,pH,K optimal pH maximum
ph_optimum_ca_min,6.0,pH,Ca optimal pH minimum
ph_optimum_ca_max,8.0,pH,Ca optimal pH maximum
ph_optimum_mg_min,6.0,pH,Mg optimal pH minimum
ph_optimum_mg_max,8.0,pH,Mg optimal pH maximum
root_zone_efficiency_factor,0.8,dimensionless,Root zone efficiency factor
min_flow_rate_multiplier,0.5,dimensionless,Minimum flow rate multiplier for optimal flow
default_michaelis_constant,50.0,µM,Default Michaelis constant for unknown nutrients
default_reference_nutrient_concentration,200.0,µM,Default reference nutrient concentration
nutrient_inhibition_minimum_factor,0.1,dimensionless,Minimum nutrient competitive inhibition factor
competition_effect_minimum_factor,0.2,dimensionless,Minimum competition effect factor
heat_stress_minimum_factor,0.1,dimensionless,Minimum heat stress factor
optimization_temp_min,16,°C,Minimum temperature for optimization
optimization_temp_max,27,°C,Maximum temperature for optimization
optimization_temp_step,2,°C,Temperature step for optimization
optimization_flow_min,0.5,L/min,Minimum flow rate for optimization
optimization_flow_max,3.0,L/min,Maximum flow rate for optimization
optimization_flow_step,0.5,L/min,Flow rate step for optimization
