step,day,hour,timestamp,ph,ph_stability,total_alkalinity,carbonate_concentration,phosphate_concentration,buffer_capacity,ph_drift_rate,ph_adjustment_needed,nutrient_solubility,iron_solubility,calcium_phosphate_precipitation,magnesium_phosphate_precipitation,cumulative_ph_adjustment,daily_ph_adjustment,step_count,last_update
14,14,0,2025-10-01 23:34:58.082127,6.348147893706774,0.9965943353006171,7.0,0.0,4.303026776636414,7.0,0.05,0.31445616205773136,{'Fe': 2.0},2.0,0.0,0.0,22895.129716959553,0.0,28,2025-10-01T23:34:57.943604
15,15,0,2025-10-01 23:34:58.291602,6.350940519083489,0.9965943353006171,7.0,0.0,4.299676593559077,7.0,0.05,0.3169785333657316,{'Fe': 2.0},2.0,0.0,0.0,25173.110056617472,0.0,30,2025-10-01T23:34:58.161582
16,16,0,2025-10-01 23:34:58.510128,6.353131305195343,0.9965943353006171,7.0,0.0,4.297036955271957,7.0,0.05,0.3189573079183745,{'Fe': 2.0},2.0,0.0,0.0,27466.256745749844,0.0,32,2025-10-01T23:34:58.375472
17,17,0,2025-10-01 23:34:58.718579,6.354849954545133,0.9965943353006171,7.0,0.0,4.294959119830511,7.0,0.05,0.3205096363633459,{'Fe': 2.0},2.0,0.0,0.0,29771.301281286258,0.0,34,2025-10-01T23:34:58.590311
18,18,0,2025-10-01 23:34:58.934985,6.356198217422805,0.9965943353006171,7.0,0.0,4.293324722191361,7.0,0.05,0.32172742218834005,{'Fe': 2.0},2.0,0.0,0.0,32085.679555920044,0.0,36,2025-10-01T23:34:58.801346
19,19,0,2025-10-01 23:34:59.152532,6.357255915892554,0.9965943353006171,7.0,0.0,4.292039868575091,7.0,0.05,0.32268276274166185,{'Fe': 2.0},2.0,0.0,0.0,34407.38005363349,0.0,38,2025-10-01T23:34:59.015957
20,20,0,2025-10-01 23:34:59.364306,6.358085669549231,0.9965943353006171,7.0,0.0,4.291030259478435,7.0,0.05,0.32343221765736985,{'Fe': 2.0},2.0,0.0,0.0,36734.82476063635,0.0,40,2025-10-01T23:34:59.233964
21,21,0,2025-10-01 23:34:59.578357,6.35873660282602,0.9965943353006171,7.0,0.0,4.290237212271939,7.0,0.05,0.3240201573912437,{'Fe': 2.0},2.0,0.0,0.0,39066.77574121239,0.0,42,2025-10-01T23:34:59.446290
22,22,0,2025-10-01 23:34:59.796328,6.359247253339484,0.9965943353006171,7.0,0.0,4.289614447161365,7.0,0.05,0.3244813901130826,{'Fe': 2.0},2.0,0.0,0.0,41402.261847424204,0.0,44,2025-10-01T23:34:59.657917
23,23,0,2025-10-01 23:35:00.013830,6.359647853456578,0.9965943353006171,7.0,0.0,4.289125507788742,7.0,0.05,0.324843222476909,{'Fe': 2.0},2.0,0.0,0.0,43740.521223624564,0.0,46,2025-10-01T23:34:59.878488
24,24,0,2025-10-01 23:35:00.225114,6.359962120160682,0.9965943353006171,7.0,0.0,4.288741701875977,7.0,0.05,0.32512707627416404,{'Fe': 2.0},2.0,0.0,0.0,46080.956201832276,0.0,48,2025-10-01T23:35:00.093872
25,25,0,2025-10-01 23:35:00.439317,6.360208659183248,0.9965943353006171,7.0,0.0,4.288440463554821,7.0,0.05,0.3253497566816428,{'Fe': 2.0},2.0,0.0,0.0,48423.09791761473,0.0,50,2025-10-01T23:35:00.307564
26,26,0,2025-10-01 23:35:00.656666,6.360402066530747,0.9965943353006171,7.0,0.0,4.288204054982539,7.0,0.05,0.3255244471890613,{'Fe': 2.0},2.0,0.0,0.0,50766.57855160888,0.0,52,2025-10-01T23:35:00.520990
