step,day,hour,timestamp
63,3,14,2025-09-29 05:53:55.702834
64,3,15,2025-09-29 05:53:55.702836
65,3,16,2025-09-29 05:53:55.702838
66,3,17,2025-09-29 05:53:55.702841
67,3,18,2025-09-29 05:53:55.702843
68,3,19,2025-09-29 05:53:55.702846
69,3,20,2025-09-29 05:53:55.702848
70,3,21,2025-09-29 05:53:55.702850
71,3,22,2025-09-29 05:53:55.702852
72,3,23,2025-09-29 05:53:55.702854
73,4,0,2025-09-29 05:53:55.702874
74,4,1,2025-09-29 05:53:55.702877
75,4,2,2025-09-29 05:53:55.702879
76,4,3,2025-09-29 05:53:55.702881
77,4,4,2025-09-29 05:53:55.702883
78,4,5,2025-09-29 05:53:55.702885
79,4,6,2025-09-29 05:53:55.702887
80,4,7,2025-09-29 05:53:55.702889
81,4,8,2025-09-29 05:53:55.702890
82,4,9,2025-09-29 05:53:55.702892
83,4,10,2025-09-29 05:53:55.702894
84,4,11,2025-09-29 05:53:55.702896
85,4,12,2025-09-29 05:53:55.702898
86,4,13,2025-09-29 05:53:55.702900
87,4,14,2025-09-29 05:53:55.702902
88,4,15,2025-09-29 05:53:55.702903
89,4,16,2025-09-29 05:53:55.702905
90,4,17,2025-09-29 05:53:55.702907
91,4,18,2025-09-29 05:53:55.702909
92,4,19,2025-09-29 05:53:55.702911
93,4,20,2025-09-29 05:53:55.702913
94,4,21,2025-09-29 05:53:55.702915
95,4,22,2025-09-29 05:53:55.702917
96,4,23,2025-09-29 05:53:55.702919
97,5,0,2025-09-29 05:53:55.702941
98,5,1,2025-09-29 05:53:55.702943
99,5,2,2025-09-29 05:53:55.702946
100,5,3,2025-09-29 05:53:55.702948
101,5,4,2025-09-29 05:53:55.702950
102,5,5,2025-09-29 05:53:55.702952
103,5,6,2025-09-29 05:53:55.702954
104,5,7,2025-09-29 05:53:55.702956
105,5,8,2025-09-29 05:53:55.702958
106,5,9,2025-09-29 05:53:55.702964
107,5,10,2025-09-29 05:53:55.702966
108,5,11,2025-09-29 05:53:55.702969
109,5,12,2025-09-29 05:53:55.702970
110,5,13,2025-09-29 05:53:55.702973
111,5,14,2025-09-29 05:53:55.702975
112,5,15,2025-09-29 05:53:55.702977
113,5,16,2025-09-29 05:53:55.702978
114,5,17,2025-09-29 05:53:55.702980
115,5,18,2025-09-29 05:53:55.702982
116,5,19,2025-09-29 05:53:55.702984
117,5,20,2025-09-29 05:53:55.702986
118,5,21,2025-09-29 05:53:55.702988
119,5,22,2025-09-29 05:53:55.702990
120,5,23,2025-09-29 05:53:55.702992
121,6,0,2025-09-29 05:53:55.703012
122,6,1,2025-09-29 05:53:55.703014
123,6,2,2025-09-29 05:53:55.703016
124,6,3,2025-09-29 05:53:55.703018
125,6,4,2025-09-29 05:53:55.703020
126,6,5,2025-09-29 05:53:55.703022
127,6,6,2025-09-29 05:53:55.703023
128,6,7,2025-09-29 05:53:55.703025
129,6,8,2025-09-29 05:53:55.703027
130,6,9,2025-09-29 05:53:55.703029
131,6,10,2025-09-29 05:53:55.703033
132,6,11,2025-09-29 05:53:55.703035
133,6,12,2025-09-29 05:53:55.703036
134,6,13,2025-09-29 05:53:55.703038
135,6,14,2025-09-29 05:53:55.703040
136,6,15,2025-09-29 05:53:55.703042
137,6,16,2025-09-29 05:53:55.703044
138,6,17,2025-09-29 05:53:55.703046
139,6,18,2025-09-29 05:53:55.703048
140,6,19,2025-09-29 05:53:55.703050
141,6,20,2025-09-29 05:53:55.703052
142,6,21,2025-09-29 05:53:55.703054
143,6,22,2025-09-29 05:53:55.703056
144,6,23,2025-09-29 05:53:55.703058
145,7,0,2025-09-29 05:53:55.703076
146,7,1,2025-09-29 05:53:55.703078
147,7,2,2025-09-29 05:53:55.703080
148,7,3,2025-09-29 05:53:55.703082
149,7,4,2025-09-29 05:53:55.703084
150,7,5,2025-09-29 05:53:55.703086
151,7,6,2025-09-29 05:53:55.703088
152,7,7,2025-09-29 05:53:55.703090
153,7,8,2025-09-29 05:53:55.703092
154,7,9,2025-09-29 05:53:55.703094
155,7,10,2025-09-29 05:53:55.703096
156,7,11,2025-09-29 05:53:55.703097
157,7,12,2025-09-29 05:53:55.703099
158,7,13,2025-09-29 05:53:55.703101
159,7,14,2025-09-29 05:53:55.703103
160,7,15,2025-09-29 05:53:55.703105
161,7,16,2025-09-29 05:53:55.703107
162,7,17,2025-09-29 05:53:55.703109
163,7,18,2025-09-29 05:53:55.703111
164,7,19,2025-09-29 05:53:55.703112
165,7,20,2025-09-29 05:53:55.703114
166,7,21,2025-09-29 05:53:55.703116
167,7,22,2025-09-29 05:53:55.703118
168,7,23,2025-09-29 05:53:55.703120
169,8,0,2025-09-29 05:53:55.703137
170,8,1,2025-09-29 05:53:55.703139
171,8,2,2025-09-29 05:53:55.703141
172,8,3,2025-09-29 05:53:55.703143
173,8,4,2025-09-29 05:53:55.703145
174,8,5,2025-09-29 05:53:55.703148
175,8,6,2025-09-29 05:53:55.703149
176,8,7,2025-09-29 05:53:55.703151
177,8,8,2025-09-29 05:53:55.703153
178,8,9,2025-09-29 05:53:55.703155
179,8,10,2025-09-29 05:53:55.703157
180,8,11,2025-09-29 05:53:55.703159
181,8,12,2025-09-29 05:53:55.703161
182,8,13,2025-09-29 05:53:55.703163
183,8,14,2025-09-29 05:53:55.703165
184,8,15,2025-09-29 05:53:55.703168
185,8,16,2025-09-29 05:53:55.703170
186,8,17,2025-09-29 05:53:55.703171
187,8,18,2025-09-29 05:53:55.703173
188,8,19,2025-09-29 05:53:55.703175
189,8,20,2025-09-29 05:53:55.703177
190,8,21,2025-09-29 05:53:55.703179
191,8,22,2025-09-29 05:53:55.703181
192,8,23,2025-09-29 05:53:55.703183
193,9,0,2025-09-29 05:53:55.703201
194,9,1,2025-09-29 05:53:55.703203
195,9,2,2025-09-29 05:53:55.703205
196,9,3,2025-09-29 05:53:55.703207
197,9,4,2025-09-29 05:53:55.703209
198,9,5,2025-09-29 05:53:55.703211
199,9,6,2025-09-29 05:53:55.703212
200,9,7,2025-09-29 05:53:55.703215
201,9,8,2025-09-29 05:53:55.703216
202,9,9,2025-09-29 05:53:55.703219
203,9,10,2025-09-29 05:53:55.703220
204,9,11,2025-09-29 05:53:55.703222
205,9,12,2025-09-29 05:53:55.703224
206,9,13,2025-09-29 05:53:55.703226
207,9,14,2025-09-29 05:53:55.703228
208,9,15,2025-09-29 05:53:55.703230
209,9,16,2025-09-29 05:53:55.703232
210,9,17,2025-09-29 05:53:55.703233
211,9,18,2025-09-29 05:53:55.703235
212,9,19,2025-09-29 05:53:55.703237
213,9,20,2025-09-29 05:53:55.703239
214,9,21,2025-09-29 05:53:55.703241
215,9,22,2025-09-29 05:53:55.703243
216,9,23,2025-09-29 05:53:55.703244
217,10,0,2025-09-29 05:53:55.703261
218,10,1,2025-09-29 05:53:55.703263
219,10,2,2025-09-29 05:53:55.703265
220,10,3,2025-09-29 05:53:55.703267
221,10,4,2025-09-29 05:53:55.703269
222,10,5,2025-09-29 05:53:55.703273
223,10,6,2025-09-29 05:53:55.703275
224,10,7,2025-09-29 05:53:55.703277
225,10,8,2025-09-29 05:53:55.703279
226,10,9,2025-09-29 05:53:55.703282
227,10,10,2025-09-29 05:53:55.703284
228,10,11,2025-09-29 05:53:55.703288
229,10,12,2025-09-29 05:53:55.703290
230,10,13,2025-09-29 05:53:55.703292
231,10,14,2025-09-29 05:53:55.703294
232,10,15,2025-09-29 05:53:55.703296
233,10,16,2025-09-29 05:53:55.703298
234,10,17,2025-09-29 05:53:55.703300
235,10,18,2025-09-29 05:53:55.703302
236,10,19,2025-09-29 05:53:55.703304
237,10,20,2025-09-29 05:53:55.703306
238,10,21,2025-09-29 05:53:55.703308
239,10,22,2025-09-29 05:53:55.703309
240,10,23,2025-09-29 05:53:55.703311
241,11,0,2025-09-29 05:53:55.703330
242,11,1,2025-09-29 05:53:55.703332
243,11,2,2025-09-29 05:53:55.703334
244,11,3,2025-09-29 05:53:55.703336
245,11,4,2025-09-29 05:53:55.703338
246,11,5,2025-09-29 05:53:55.703340
247,11,6,2025-09-29 05:53:55.703342
248,11,7,2025-09-29 05:53:55.703344
249,11,8,2025-09-29 05:53:55.703346
250,11,9,2025-09-29 05:53:55.703348
251,11,10,2025-09-29 05:53:55.703350
252,11,11,2025-09-29 05:53:55.703352
253,11,12,2025-09-29 05:53:55.703354
254,11,13,2025-09-29 05:53:55.703356
255,11,14,2025-09-29 05:53:55.703359
256,11,15,2025-09-29 05:53:55.703361
257,11,16,2025-09-29 05:53:55.703363
258,11,17,2025-09-29 05:53:55.703365
259,11,18,2025-09-29 05:53:55.703367
260,11,19,2025-09-29 05:53:55.703369
261,11,20,2025-09-29 05:53:55.703371
262,11,21,2025-09-29 05:53:55.703373
263,11,22,2025-09-29 05:53:55.703374
264,11,23,2025-09-29 05:53:55.703376
265,12,0,2025-09-29 05:53:55.703395
266,12,1,2025-09-29 05:53:55.703397
267,12,2,2025-09-29 05:53:55.703399
268,12,3,2025-09-29 05:53:55.703403
269,12,4,2025-09-29 05:53:55.703405
270,12,5,2025-09-29 05:53:55.703407
271,12,6,2025-09-29 05:53:55.703409
272,12,7,2025-09-29 05:53:55.703411
273,12,8,2025-09-29 05:53:55.703413
274,12,9,2025-09-29 05:53:55.703415
275,12,10,2025-09-29 05:53:55.703416
276,12,11,2025-09-29 05:53:55.703418
277,12,12,2025-09-29 05:53:55.703420
278,12,13,2025-09-29 05:53:55.703422
279,12,14,2025-09-29 05:53:55.703424
280,12,15,2025-09-29 05:53:55.703426
281,12,16,2025-09-29 05:53:55.703428
282,12,17,2025-09-29 05:53:55.703430
283,12,18,2025-09-29 05:53:55.703431
284,12,19,2025-09-29 05:53:55.703433
285,12,20,2025-09-29 05:53:55.703435
286,12,21,2025-09-29 05:53:55.703437
287,12,22,2025-09-29 05:53:55.703439
288,12,23,2025-09-29 05:53:55.703441
289,13,0,2025-09-29 05:53:55.703458
290,13,1,2025-09-29 05:53:55.703460
291,13,2,2025-09-29 05:53:55.703462
292,13,3,2025-09-29 05:53:55.703464
293,13,4,2025-09-29 05:53:55.703466
294,13,5,2025-09-29 05:53:55.704534
295,13,6,2025-09-29 05:53:55.704537
296,13,7,2025-09-29 05:53:55.704540
297,13,8,2025-09-29 05:53:55.704542
298,13,9,2025-09-29 05:53:55.704544
299,13,10,2025-09-29 05:53:55.704546
300,13,11,2025-09-29 05:53:55.704549
301,13,12,2025-09-29 05:53:55.704551
302,13,13,2025-09-29 05:53:55.704554
303,13,14,2025-09-29 05:53:55.704557
304,13,15,2025-09-29 05:53:55.704559
305,13,16,2025-09-29 05:53:55.704562
306,13,17,2025-09-29 05:53:55.704565
307,13,18,2025-09-29 05:53:55.704568
308,13,19,2025-09-29 05:53:55.704570
309,13,20,2025-09-29 05:53:55.704573
310,13,21,2025-09-29 05:53:55.704576
311,13,22,2025-09-29 05:53:55.704580
312,13,23,2025-09-29 05:53:55.704582
313,14,0,2025-09-29 05:53:55.704640
314,14,1,2025-09-29 05:53:55.704644
315,14,2,2025-09-29 05:53:55.704647
316,14,3,2025-09-29 05:53:55.704651
317,14,4,2025-09-29 05:53:55.704654
318,14,5,2025-09-29 05:53:55.704657
319,14,6,2025-09-29 05:53:55.704660
320,14,7,2025-09-29 05:53:55.704663
321,14,8,2025-09-29 05:53:55.704666
322,14,9,2025-09-29 05:53:55.704668
323,14,10,2025-09-29 05:53:55.704671
324,14,11,2025-09-29 05:53:55.704673
325,14,12,2025-09-29 05:53:55.704676
326,14,13,2025-09-29 05:53:55.704679
327,14,14,2025-09-29 05:53:55.704681
328,14,15,2025-09-29 05:53:55.704684
329,14,16,2025-09-29 05:53:55.704687
330,14,17,2025-09-29 05:53:55.704689
331,14,18,2025-09-29 05:53:55.704692
332,14,19,2025-09-29 05:53:55.704695
333,14,20,2025-09-29 05:53:55.704697
334,14,21,2025-09-29 05:53:55.704700
335,14,22,2025-09-29 05:53:55.704703
336,14,23,2025-09-29 05:53:55.704705
337,15,0,2025-09-29 05:53:55.704753
338,15,1,2025-09-29 05:53:55.704759
339,15,2,2025-09-29 05:53:55.704762
340,15,3,2025-09-29 05:53:55.704765
341,15,4,2025-09-29 05:53:55.704768
342,15,5,2025-09-29 05:53:55.704771
343,15,6,2025-09-29 05:53:55.704774
344,15,7,2025-09-29 05:53:55.704776
345,15,8,2025-09-29 05:53:55.704779
346,15,9,2025-09-29 05:53:55.704782
347,15,10,2025-09-29 05:53:55.704784
348,15,11,2025-09-29 05:53:55.704786
349,15,12,2025-09-29 05:53:55.704788
350,15,13,2025-09-29 05:53:55.704790
351,15,14,2025-09-29 05:53:55.704792
352,15,15,2025-09-29 05:53:55.704794
353,15,16,2025-09-29 05:53:55.704801
354,15,17,2025-09-29 05:53:55.704805
355,15,18,2025-09-29 05:53:55.704807
356,15,19,2025-09-29 05:53:55.704809
357,15,20,2025-09-29 05:53:55.704811
358,15,21,2025-09-29 05:53:55.704813
359,15,22,2025-09-29 05:53:55.704814
360,15,23,2025-09-29 05:53:55.704816
361,16,0,2025-09-29 05:53:55.704841
362,16,1,2025-09-29 05:53:55.704843
363,16,2,2025-09-29 05:53:55.704845
364,16,3,2025-09-29 05:53:55.704847
365,16,4,2025-09-29 05:53:55.704849
366,16,5,2025-09-29 05:53:55.704851
367,16,6,2025-09-29 05:53:55.704853
368,16,7,2025-09-29 05:53:55.704855
369,16,8,2025-09-29 05:53:55.704857
370,16,9,2025-09-29 05:53:55.704859
371,16,10,2025-09-29 05:53:55.704861
372,16,11,2025-09-29 05:53:55.704862
373,16,12,2025-09-29 05:53:55.704864
374,16,13,2025-09-29 05:53:55.704866
375,16,14,2025-09-29 05:53:55.704868
376,16,15,2025-09-29 05:53:55.704870
377,16,16,2025-09-29 05:53:55.704872
378,16,17,2025-09-29 05:53:55.704874
379,16,18,2025-09-29 05:53:55.704880
380,16,19,2025-09-29 05:53:55.704882
381,16,20,2025-09-29 05:53:55.704883
382,16,21,2025-09-29 05:53:55.704885
383,16,22,2025-09-29 05:53:55.704887
384,16,23,2025-09-29 05:53:55.704889
385,17,0,2025-09-29 05:53:55.704909
386,17,1,2025-09-29 05:53:55.704911
387,17,2,2025-09-29 05:53:55.704913
388,17,3,2025-09-29 05:53:55.704915
389,17,4,2025-09-29 05:53:55.704917
390,17,5,2025-09-29 05:53:55.704919
391,17,6,2025-09-29 05:53:55.704921
392,17,7,2025-09-29 05:53:55.704923
393,17,8,2025-09-29 05:53:55.704924
394,17,9,2025-09-29 05:53:55.704926
395,17,10,2025-09-29 05:53:55.704932
396,17,11,2025-09-29 05:53:55.704934
397,17,12,2025-09-29 05:53:55.704936
398,17,13,2025-09-29 05:53:55.704939
399,17,14,2025-09-29 05:53:55.704942
400,17,15,2025-09-29 05:53:55.704944
401,17,16,2025-09-29 05:53:55.704946
402,17,17,2025-09-29 05:53:55.704948
403,17,18,2025-09-29 05:53:55.704950
404,17,19,2025-09-29 05:53:55.704952
405,17,20,2025-09-29 05:53:55.704954
406,17,21,2025-09-29 05:53:55.704956
407,17,22,2025-09-29 05:53:55.704958
408,17,23,2025-09-29 05:53:55.704959
409,18,0,2025-09-29 05:53:55.704980
410,18,1,2025-09-29 05:53:55.704982
411,18,2,2025-09-29 05:53:55.704984
412,18,3,2025-09-29 05:53:55.704986
413,18,4,2025-09-29 05:53:55.704988
414,18,5,2025-09-29 05:53:55.704990
415,18,6,2025-09-29 05:53:55.704992
416,18,7,2025-09-29 05:53:55.704994
417,18,8,2025-09-29 05:53:55.704996
418,18,9,2025-09-29 05:53:55.704997
419,18,10,2025-09-29 05:53:55.704999
420,18,11,2025-09-29 05:53:55.705001
421,18,12,2025-09-29 05:53:55.705003
422,18,13,2025-09-29 05:53:55.705005
423,18,14,2025-09-29 05:53:55.705007
424,18,15,2025-09-29 05:53:55.705009
425,18,16,2025-09-29 05:53:55.705010
426,18,17,2025-09-29 05:53:55.705012
427,18,18,2025-09-29 05:53:55.705014
428,18,19,2025-09-29 05:53:55.705016
429,18,20,2025-09-29 05:53:55.705018
430,18,21,2025-09-29 05:53:55.705020
431,18,22,2025-09-29 05:53:55.705022
432,18,23,2025-09-29 05:53:55.705023
433,19,0,2025-09-29 05:53:55.705042
434,19,1,2025-09-29 05:53:55.705044
435,19,2,2025-09-29 05:53:55.705046
436,19,3,2025-09-29 05:53:55.705048
437,19,4,2025-09-29 05:53:55.705050
438,19,5,2025-09-29 05:53:55.705053
439,19,6,2025-09-29 05:53:55.705056
440,19,7,2025-09-29 05:53:55.705058
441,19,8,2025-09-29 05:53:55.705059
442,19,9,2025-09-29 05:53:55.705061
443,19,10,2025-09-29 05:53:55.705063
444,19,11,2025-09-29 05:53:55.705065
445,19,12,2025-09-29 05:53:55.705067
446,19,13,2025-09-29 05:53:55.705069
447,19,14,2025-09-29 05:53:55.705071
448,19,15,2025-09-29 05:53:55.705072
449,19,16,2025-09-29 05:53:55.705074
450,19,17,2025-09-29 05:53:55.705076
451,19,18,2025-09-29 05:53:55.705078
452,19,19,2025-09-29 05:53:55.705080
453,19,20,2025-09-29 05:53:55.705082
454,19,21,2025-09-29 05:53:55.705086
455,19,22,2025-09-29 05:53:55.705088
456,19,23,2025-09-29 05:53:55.705091
457,20,0,2025-09-29 05:53:55.705108
458,20,1,2025-09-29 05:53:55.705111
459,20,2,2025-09-29 05:53:55.705113
460,20,3,2025-09-29 05:53:55.705115
461,20,4,2025-09-29 05:53:55.705117
462,20,5,2025-09-29 05:53:55.705119
463,20,6,2025-09-29 05:53:55.705120
464,20,7,2025-09-29 05:53:55.705122
465,20,8,2025-09-29 05:53:55.705124
466,20,9,2025-09-29 05:53:55.705126
467,20,10,2025-09-29 05:53:55.705128
468,20,11,2025-09-29 05:53:55.705130
469,20,12,2025-09-29 05:53:55.705132
470,20,13,2025-09-29 05:53:55.705134
471,20,14,2025-09-29 05:53:55.705136
472,20,15,2025-09-29 05:53:55.705137
473,20,16,2025-09-29 05:53:55.705139
474,20,17,2025-09-29 05:53:55.705141
475,20,18,2025-09-29 05:53:55.705143
476,20,19,2025-09-29 05:53:55.705146
477,20,20,2025-09-29 05:53:55.705148
478,20,21,2025-09-29 05:53:55.705150
479,20,22,2025-09-29 05:53:55.705152
480,20,23,2025-09-29 05:53:55.705155
481,21,0,2025-09-29 05:53:55.705173
482,21,1,2025-09-29 05:53:55.705175
483,21,2,2025-09-29 05:53:55.705177
484,21,3,2025-09-29 05:53:55.705179
485,21,4,2025-09-29 05:53:55.705181
486,21,5,2025-09-29 05:53:55.705183
487,21,6,2025-09-29 05:53:55.705184
488,21,7,2025-09-29 05:53:55.705186
489,21,8,2025-09-29 05:53:55.705188
490,21,9,2025-09-29 05:53:55.705190
491,21,10,2025-09-29 05:53:55.705192
492,21,11,2025-09-29 05:53:55.705194
493,21,12,2025-09-29 05:53:55.705196
494,21,13,2025-09-29 05:53:55.705198
495,21,14,2025-09-29 05:53:55.705200
496,21,15,2025-09-29 05:53:55.705201
497,21,16,2025-09-29 05:53:55.705203
498,21,17,2025-09-29 05:53:55.705205
499,21,18,2025-09-29 05:53:55.705207
500,21,19,2025-09-29 05:53:55.705209
501,21,20,2025-09-29 05:53:55.705211
502,21,21,2025-09-29 05:53:55.705213
503,21,22,2025-09-29 05:53:55.705217
504,21,23,2025-09-29 05:53:55.705219
505,22,0,2025-09-29 05:53:55.705235
506,22,1,2025-09-29 05:53:55.705238
507,22,2,2025-09-29 05:53:55.705240
508,22,3,2025-09-29 05:53:55.705241
509,22,4,2025-09-29 05:53:55.705243
510,22,5,2025-09-29 05:53:55.705245
511,22,6,2025-09-29 05:53:55.705247
512,22,7,2025-09-29 05:53:55.705249
513,22,8,2025-09-29 05:53:55.705251
514,22,9,2025-09-29 05:53:55.705252
515,22,10,2025-09-29 05:53:55.705254
516,22,11,2025-09-29 05:53:55.705256
517,22,12,2025-09-29 05:53:55.705258
518,22,13,2025-09-29 05:53:55.705260
519,22,14,2025-09-29 05:53:55.705262
520,22,15,2025-09-29 05:53:55.705264
521,22,16,2025-09-29 05:53:55.705266
522,22,17,2025-09-29 05:53:55.705269
523,22,18,2025-09-29 05:53:55.705271
524,22,19,2025-09-29 05:53:55.705273
525,22,20,2025-09-29 05:53:55.705275
526,22,21,2025-09-29 05:53:55.705277
527,22,22,2025-09-29 05:53:55.705278
528,22,23,2025-09-29 05:53:55.705280
529,23,0,2025-09-29 05:53:55.705297
530,23,1,2025-09-29 05:53:55.705299
531,23,2,2025-09-29 05:53:55.705301
532,23,3,2025-09-29 05:53:55.705303
533,23,4,2025-09-29 05:53:55.705305
534,23,5,2025-09-29 05:53:55.705307
535,23,6,2025-09-29 05:53:55.705309
536,23,7,2025-09-29 05:53:55.705311
537,23,8,2025-09-29 05:53:55.705312
538,23,9,2025-09-29 05:53:55.705314
539,23,10,2025-09-29 05:53:55.705316
540,23,11,2025-09-29 05:53:55.705318
541,23,12,2025-09-29 05:53:55.705320
542,23,13,2025-09-29 05:53:55.705322
543,23,14,2025-09-29 05:53:55.705324
544,23,15,2025-09-29 05:53:55.705325
545,23,16,2025-09-29 05:53:55.705327
546,23,17,2025-09-29 05:53:55.705329
547,23,18,2025-09-29 05:53:55.705331
548,23,19,2025-09-29 05:53:55.705333
549,23,20,2025-09-29 05:53:55.705335
550,23,21,2025-09-29 05:53:55.705337
551,23,22,2025-09-29 05:53:55.705339
552,23,23,2025-09-29 05:53:55.705340
553,24,0,2025-09-29 05:53:55.705356
554,24,1,2025-09-29 05:53:55.705358
555,24,2,2025-09-29 05:53:55.705360
556,24,3,2025-09-29 05:53:55.705362
557,24,4,2025-09-29 05:53:55.705364
558,24,5,2025-09-29 05:53:55.705366
559,24,6,2025-09-29 05:53:55.705368
560,24,7,2025-09-29 05:53:55.705370
561,24,8,2025-09-29 05:53:55.705371
562,24,9,2025-09-29 05:53:55.705373
563,24,10,2025-09-29 05:53:55.705375
564,24,11,2025-09-29 05:53:55.705377
565,24,12,2025-09-29 05:53:55.705385
566,24,13,2025-09-29 05:53:55.705387
567,24,14,2025-09-29 05:53:55.705388
568,24,15,2025-09-29 05:53:55.705391
569,24,16,2025-09-29 05:53:55.705393
570,24,17,2025-09-29 05:53:55.705396
571,24,18,2025-09-29 05:53:55.705398
572,24,19,2025-09-29 05:53:55.705400
573,24,20,2025-09-29 05:53:55.705402
574,24,21,2025-09-29 05:53:55.705404
575,24,22,2025-09-29 05:53:55.705406
576,24,23,2025-09-29 05:53:55.705408
577,25,0,2025-09-29 05:53:55.705425
578,25,1,2025-09-29 05:53:55.705427
579,25,2,2025-09-29 05:53:55.705429
580,25,3,2025-09-29 05:53:55.705431
581,25,4,2025-09-29 05:53:55.705433
582,25,5,2025-09-29 05:53:55.705435
583,25,6,2025-09-29 05:53:55.705436
584,25,7,2025-09-29 05:53:55.705438
585,25,8,2025-09-29 05:53:55.705440
586,25,9,2025-09-29 05:53:55.705442
587,25,10,2025-09-29 05:53:55.705444
588,25,11,2025-09-29 05:53:55.705446
589,25,12,2025-09-29 05:53:55.705448
590,25,13,2025-09-29 05:53:55.705454
591,25,14,2025-09-29 05:53:55.705456
592,25,15,2025-09-29 05:53:55.705458
593,25,16,2025-09-29 05:53:55.705460
594,25,17,2025-09-29 05:53:55.705462
595,25,18,2025-09-29 05:53:55.705464
596,25,19,2025-09-29 05:53:55.705466
597,25,20,2025-09-29 05:53:55.705468
598,25,21,2025-09-29 05:53:55.705470
599,25,22,2025-09-29 05:53:55.705471
600,25,23,2025-09-29 05:53:55.705473
601,26,0,2025-09-29 05:53:55.705490
602,26,1,2025-09-29 05:53:55.705492
603,26,2,2025-09-29 05:53:55.705494
604,26,3,2025-09-29 05:53:55.705496
605,26,4,2025-09-29 05:53:55.705498
606,26,5,2025-09-29 05:53:55.705500
607,26,6,2025-09-29 05:53:55.705505
608,26,7,2025-09-29 05:53:55.705507
609,26,8,2025-09-29 05:53:55.705509
610,26,9,2025-09-29 05:53:55.705511
611,26,10,2025-09-29 05:53:55.705513
612,26,11,2025-09-29 05:53:55.705515
613,26,12,2025-09-29 05:53:55.705517
614,26,13,2025-09-29 05:53:55.705519
615,26,14,2025-09-29 05:53:55.705521
616,26,15,2025-09-29 05:53:55.705522
617,26,16,2025-09-29 05:53:55.705524
618,26,17,2025-09-29 05:53:55.705526
619,26,18,2025-09-29 05:53:55.705528
620,26,19,2025-09-29 05:53:55.705530
621,26,20,2025-09-29 05:53:55.705532
622,26,21,2025-09-29 05:53:55.705534
623,26,22,2025-09-29 05:53:55.705535
624,26,23,2025-09-29 05:53:55.705537
625,27,0,2025-09-29 05:53:55.705555
626,27,1,2025-09-29 05:53:55.705557
627,27,2,2025-09-29 05:53:55.705559
628,27,3,2025-09-29 05:53:55.705561
629,27,4,2025-09-29 05:53:55.705564
630,27,5,2025-09-29 05:53:55.705566
631,27,6,2025-09-29 05:53:55.705568
632,27,7,2025-09-29 05:53:55.705570
633,27,8,2025-09-29 05:53:55.705572
634,27,9,2025-09-29 05:53:55.705573
635,27,10,2025-09-29 05:53:55.705575
